Number,Name,Rx Freq,Tx Freq,Ch Mode,Power,Rx Tone,Tx Tone,Color Code,Rx Group List,Contact,Repeater Slot
,2m Splx 146.5,146.5,146.5,Analog,High,None,None,0,0,0,1
,2m Splx 145.5,145.5,145.5,Analog,High,None,None,0,0,0,1
,70cm Splx 439.0,439,439,Analog,High,None,None,0,0,0,1
,70cm Splx 439.1,439.1,439.1,Analog,High,None,None,0,0,0,1
,VK1RAC 2m Issac,146.9,146.3,Analog,High,None,None,0,0,0,1
,VK1RBM 2m Isacs,146.725,146.125,Analog,High,None,91.5,0,0,0,1
,VK1RBM 7 Issac,439.95,434.95,Analog,High,None,91.5,0,0,0,1
,VK1RGI 2m Gnini,146.95,146.35,Analog,High,None,91.5,0,0,0,1
,VK1RGI 7 Ginini,433.05,433.05,Analog,High,None,91.5,0,0,0,1
,VK1RGI 7 Gnini,438.05,433.05,Analog,High,None,91.5,0,0,0,1
,VK2RAA 2m NtTas,147,146.4,Analog,High,None,None,0,0,0,1
,VK2RAD 7 Armdal,438.65,433.65,Analog,High,None,None,0,0,0,1
,VK2RAG 7 CntCst,439.95,434.95,Analog,High,None,91.5,0,0,0,1
,VK2RAG 7 Gosfrd,438.075,433.075,Analog,High,None,91.5,0,0,0,1
,VK2RAO 7 Orange,438.725,433.725,Analog,High,None,None,0,0,0,1
,VK2RAY 2m Albry,147.225,147.825,Analog,High,None,118.8,0,0,0,1
,VK2RAY 7 Albry,438.575,433.575,Analog,High,None,None,0,0,0,1
,VK2RBE 2m Young,146.775,146.175,Analog,High,None,91.5,0,0,0,1
,VK2RBV 7 Syd,438.1125,432.7125,Analog,High,None,91.5,0,0,0,1
,VK2RCC 2m Cnbrb,146.8,146.2,Analog,High,None,None,0,0,0,1
,VK2RCD 2m Dubbo,146.725,146.125,Analog,High,None,None,0,0,0,1
,VK2RDD 7 Dubbo,439.95,434.95,Analog,High,None,None,0,0,0,1
,VK2RGA 2m Lchrt,146.825,146.225,Analog,High,None,91.5,0,0,0,1
,VK2RGN 2m Glbn,146.625,146.025,Analog,High,None,None,0,0,0,1
,VK2RGN 7 Goulb3,438.325,433.325,Analog,High,None,None,0,0,0,1
,VK2RGN 7 Goulbn,439.95,434.95,Analog,High,None,None,0,0,0,1
,VK2RGN 7Goulbn2,438.625,433.625,Analog,High,None,None,0,0,0,1
,VK2RHR 7 HghRng,438.025,433.025,Analog,High,None,None,0,0,0,1
,VK2RHT 7 Chtswd,438.35,432.95,Analog,High,None,91.5,0,0,0,1
,VK2RLH 7 Bthrst,439.85,434.85,Analog,High,None,None,0,0,0,1
,VK2RMB 7 Syd,438.175,433.175,Analog,High,None,91.5,0,0,0,1
,VK2RMO 2m Tmwth,146.85,146.25,Analog,High,None,None,0,0,0,1
,VK2RMP 7 Wlgogn,438.725,433.725,Analog,High,None,123,0,0,0,1
,VK2RMR 7 BluMtn,439.575,434.575,Analog,High,None,123,0,0,0,1
