Number,Name,Rx Freq,Tx Freq,Ch Mode,Power,Rx Tone,Tx Tone,Color Code,Rx Group List,Contact,Repeater Slot
,439.2 SPX DMR,439.2,439.2,Digital,Low,None,None,1,0,1,1
,438.7 SPX DMR,438.7,438.7,Digital,High,None,None,1,0,1,1
,DV4 TG9 S1,439.125,439.125,Digital,Low,None,None,1,4,5,1
,DV4 BM TG9 S2,439.125,439.125,Digital,Low,None,None,1,4,5,2
,DV4 tg133 US,439.125,439.125,Digital,Low,None,None,1,4,44,2
,DV4 tg143 UK,439.125,439.125,Digital,Low,None,None,1,4,45,2
,DV4 tg153 SthPa,439.125,439.125,Digital,Low,None,None,1,4,46,2
,DV4 tg3800 AU,439.125,439.125,Digital,Low,None,None,1,4,47,2
,DV4 tg3801 ACT,439.125,439.125,Digital,Low,None,None,1,4,48,2
,DV4 tg3802 NSW,439.125,439.125,Digital,Low,None,None,1,4,49,2
,DV4 tg3803 Vic,439.125,439.125,Digital,Low,None,None,1,4,50,2
,DV4 tg3804 Qld,439.125,439.125,Digital,Low,None,None,1,4,51,2
,DV4 tg3805 SA,439.125,439.125,Digital,Low,None,None,1,4,52,2
,DV4 tg3806 WA,439.125,439.125,Digital,Low,None,None,1,4,53,2
,DV4 tg3807 Tas,439.125,439.125,Digital,Low,None,None,1,4,54,2
,DV hs Scan,439.125,439.125,Digital,Low,None,None,1,4,1,2
,DVm TG9S2,439.15,439.15,Digital,Low,None,None,1,2,5,2
,DVm 505 AU,439.15,439.15,Digital,Low,None,None,1,2,15,2
,DVm YSF 50599,439.15,439.15,Digital,Low,None,None,1,2,37,2
,DVm 5051 ACT,439.15,439.15,Digital,Low,None,None,1,2,30,2
,DVm 5052 NSW,439.15,439.15,Digital,Low,None,None,1,2,31,2
,DVm 5053 Vic,439.15,439.15,Digital,Low,None,None,1,2,32,2
,DVm 5054 Qld,439.15,439.15,Digital,Low,None,None,1,2,33,2
,DVm 5055 SA,439.15,439.15,Digital,Low,None,None,1,2,34,2
,DVm 5056 WA,439.15,439.15,Digital,Low,None,None,1,2,35,2
,DVm 5057 Tas,439.15,439.15,Digital,Low,None,None,1,2,36,2
,DVm WICEN,439.15,439.15,Digital,Low,None,None,1,2,43,1
,DVm TG91 WW,439.15,439.15,Digital,Low,None,None,1,2,39,1
,DVm TG913 WWE,439.15,439.15,Digital,Low,None,None,1,2,40,1
,DVm TG923 EU E,439.15,439.15,Digital,Low,None,None,1,2,40,1
,DVm TG95 PacRim,439.15,439.15,Digital,Low,None,None,1,2,42,1
,DVm 26204,439.15,439.15,Digital,Low,None,None,1,2,55,1
,DVm 31665,439.15,439.15,Digital,Low,None,None,1,2,56,2
,DVm 4000 discnt,439.15,439.15,Digital,Low,None,None,1,0,27,1
,DVm 5000 status,439.15,439.15,Digital,Low,None,None,1,0,28,1
,Z bm TG9S2,439.1375,439.1375,Digital,Low,None,None,1,2,5,2
,Z bm 505 AU,439.1375,439.1375,Digital,Low,None,None,1,2,15,2
,Z bm YSF 50599,439.1375,439.1375,Digital,Low,None,None,1,2,37,2
,Z bm 5051 ACT,439.1375,439.1375,Digital,Low,None,None,1,2,30,2
,Z bm 5052 NSW,439.1375,439.1375,Digital,Low,None,None,1,2,31,2
,Z bm 5053 Vic,439.1375,439.1375,Digital,Low,None,None,1,2,32,2
,Z bm 5054 Qld,439.1375,439.1375,Digital,Low,None,None,1,2,33,2
,Z bm 5055 SA,439.1375,439.1375,Digital,Low,None,None,1,2,34,2
,Z bm 5056 WA,439.1375,439.1375,Digital,Low,None,None,1,2,35,2
,Z bm 5057 Tas,439.1375,439.1375,Digital,Low,None,None,1,2,36,2
,Z bm WICEN,439.1375,439.1375,Digital,Low,None,None,1,2,43,1
,Z bm TG91 WW,439.1375,439.1375,Digital,Low,None,None,1,2,39,1
,Z bm TG913 WWE,439.1375,439.1375,Digital,Low,None,None,1,2,40,1
,Z bm TG923 EU E,439.1375,439.1375,Digital,Low,None,None,1,2,40,1
,Z bm TG95 PacRim,439.1375,439.1375,Digital,Low,None,None,1,2,42,1
,Z bm 26204,439.1375,439.1375,Digital,Low,None,None,1,2,55,1
,Z bm 31665,439.1375,439.1375,Digital,Low,None,None,1,2,56,2
,Z bm 4000 discnt,439.1375,439.1375,Digital,Low,None,None,1,0,27,1
,Z bm 5000 status,439.1375,439.1375,Digital,Low,None,None,1,0,28,1
