Channel Name,Channel Type,Rx Frequency,Tx Frequency,Color Code,Timeslot,Contact,Rx Group,Scanlist,RX CTCSS,TX CTCSS,Power,Bandwidth,Rx Only,Squelch,Tx Admit,TOT,TOT Rekey,Tx Signaling,Rx Signaling,Privacy Group,Emergency System,Flags1,Flags2,Flags3,Flags4,Unknown25,Unknown26,Unknown30,Unknown36,Unknown38,Unknown40,Unknown52,Unknown53,Unknown54,Unknown55
'439.2 SPX DMR,Digital,439.2,439.2,1,1,Private,None,None,None,None,High,12.5KHz,No,Normal,0,0,255,0,0,0,1,0,16,0,1,0,0,80,0,0,22,0,0,0,0
'438.7 SPX DMR,Digital,438.7,438.7,1,1,All Calls,None,Hotspots,None,None,High,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,129,0,0,80,0,0,22,0,0,0,0
DV4 TG9,Digital,439.125,439.125,1,2,TG9 Local,DV4mini DMR+,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,1,0,0,80,0,0,22,0,0,0,0
DVm TG8,Digital,431,431,1,2,TG8 StateLnkd,None,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,64,0,1,0,0,80,0,0,22,0,0,0,0
DVm TG9,Digital,431,431,1,2,TG9 Local,None,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,64,0,1,0,0,80,0,0,22,0,0,0,0
DVm 505 AU,Digital,431,431,1,2,TG505 AU,TG505,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,64,0,1,0,0,80,0,0,22,0,0,0,0
DVm YSF 50599,Digital,431,431,1,2,TG50599 YSF,bm50599,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,64,0,1,0,0,80,0,0,22,0,0,0,0
DVm 5051 ACT,Digital,431,431,1,2,TG5051 ACT BM,bm5051,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,64,0,1,0,0,80,0,0,22,0,0,0,0
DVm 5052 NSW,Digital,431,431,1,2,TG5052 NSW BM,bm5052,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,64,0,1,0,0,80,0,0,22,0,0,0,0
DVm 5053 Vic,Digital,431,431,1,2,TG5053 Vic BM,bm5053,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,64,0,1,0,0,80,0,0,22,0,0,0,0
DVm 5054 Qld,Digital,431,431,1,2,TG5054 Qld BM,bm5054,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,64,0,1,0,0,80,0,0,22,0,0,0,0
DVm 5055 SA,Digital,431,431,1,2,TG5055 SA BM,bm5055,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,64,0,1,0,0,80,0,0,22,0,0,0,0
DVm 5056 WA,Digital,431,431,1,2,TG5056 WA BM,bm5056,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,64,0,1,0,0,80,0,0,22,0,0,0,0
DVm 5057 Tas,Digital,431,431,1,2,TG5057 Tas BM,bm5057,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,64,0,1,0,0,80,0,0,22,0,0,0,0
DVm WICEN,Digital,431,431,1,1,VK WICEN BM,bm50566,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,1,0,0,80,0,0,22,0,0,0,0
DVm TG91 WW,Digital,431,431,1,1,TG91 BM WW,bm91,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,1,0,0,80,0,0,22,0,0,0,0
DVm TG913 WWE,Digital,431,431,1,1,TG913 BM WWE,bm913,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,1,0,0,80,0,0,22,0,0,0,0
DVm TG923 EU E,Digital,431,431,1,1,TG913 BM WWE,bm923,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,1,0,0,80,0,0,22,0,0,0,0
DVm TG95 AU/NZ,Digital,431,431,1,1,TG95 BM PacRim,bm95,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,1,0,0,80,0,0,22,0,0,0,0
DVm 26204,Digital,431,431,1,1,TG26204,bm26204,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,1,0,0,80,0,0,22,0,0,0,0
DVm 31665,Digital,431,431,1,2,TG31665,bm31665,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,64,0,1,0,0,80,0,0,22,0,0,0,0
Z bm TG9S2,Digital,439.175,439.175,1,2,TG9 Local,TG9,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,64,0,1,0,0,80,0,0,22,0,0,0,0
Z bm 505 AU,Digital,439.175,439.175,1,2,TG505 AU,TG505,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,64,0,1,0,0,80,0,0,22,0,0,0,0
Z bm YSF 50599,Digital,439.175,439.175,1,2,TG50599 YSF,bm50599,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,64,0,1,0,0,80,0,0,22,0,0,0,0
Z bm 5051 ACT,Digital,439.175,439.175,1,2,TG5051 ACT BM,bm5051,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,64,0,1,0,0,80,0,0,22,0,0,0,0
Z bm 5052 NSW,Digital,439.175,439.175,1,2,TG5052 NSW BM,bm5052,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,64,0,1,0,0,80,0,0,22,0,0,0,0
Z bm 5053 Vic,Digital,439.175,439.175,1,2,TG5053 Vic BM,bm5053,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,64,0,1,0,0,80,0,0,22,0,0,0,0
Z bm 5054 Qld,Digital,439.175,439.175,1,2,TG5054 Qld BM,bm5054,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,64,0,1,0,0,80,0,0,22,0,0,0,0
Z bm 5055 SA,Digital,439.175,439.175,1,2,TG5055 SA BM,bm5055,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,64,0,1,0,0,80,0,0,22,0,0,0,0
Z bm 5056 WA,Digital,439.175,439.175,1,2,TG5056 WA BM,bm5056,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,64,0,1,0,0,80,0,0,22,0,0,0,0
Z bm 5057 Tas,Digital,439.175,439.175,1,2,TG5057 Tas BM,bm5057,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,64,0,1,0,0,80,0,0,22,0,0,0,0
Z bm WICEN,Digital,439.175,439.175,1,1,VK WICEN BM,bm50566,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,1,0,0,80,0,0,22,0,0,0,0
Z bm TG91 WW,Digital,439.175,439.175,1,1,TG91 BM WW,bm91,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,1,0,0,80,0,0,22,0,0,0,0
Z bm TG913 WWE,Digital,439.175,439.175,1,1,TG913 BM WWE,bm913,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,1,0,0,80,0,0,22,0,0,0,0
Z bm TG923 EU E,Digital,439.175,439.175,1,1,TG913 BM WWE,bm923,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,1,0,0,80,0,0,22,0,0,0,0
Z bm TG95 AU/NZ,Digital,439.175,439.175,1,1,TG95 BM PacRim,bm95,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,1,0,0,80,0,0,22,0,0,0,0
Z bm 26204,Digital,439.175,439.175,1,1,TG26204,bm26204,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,1,0,0,80,0,0,22,0,0,0,0
Z bm 31665,Digital,439.175,439.175,1,2,TG31665,bm31665,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,64,0,1,0,0,80,0,0,22,0,0,0,0
Z TG8,Digital,439.175,439.175,1,1,TG8 StateLnkd,TG8,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,1,0,0,80,0,0,22,0,0,0,0
Z TG9,Digital,439.175,439.175,1,1,TG9 Local,TG9,Hotspots,None,None,Low,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,1,0,0,80,0,0,22,0,0,0,0
VK1RBM Scan,Digital,438.8125,431.8125,1,1,All Calls,All Calls,VK1RBM,None,None,High,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,161,0,0,80,0,0,22,0,0,0,0
'1RMB TG1 WW,Digital,438.8125,431.8125,1,1,TG1 WW,TG1,VK1RBM,None,None,High,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,129,0,0,80,0,0,22,0,0,0,0
'1RMB TG8 S1,Digital,438.8125,431.8125,1,1,TG8 StateLnkd,TG8,VK1RBM,None,None,High,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,129,0,0,80,0,0,22,0,0,0,0
'1RMB TG9 S1 Loc,Digital,438.8125,431.8125,1,1,TG9 Local,TG9,VK1RBM,None,None,High,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,129,0,0,80,0,0,22,0,0,0,0
'1RMB TG13 WWE,Digital,438.8125,431.8125,1,1,TG13 WWE,TG13,VK1RBM,None,None,High,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,129,0,0,80,0,0,22,0,0,0,0
'1RMB TG113 UA E1,Digital,438.8125,431.8125,1,1,TG113 UA Eng1,TG113,VK1RBM,None,None,High,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,129,0,0,80,0,0,22,0,0,0,0
'1RMB TG123 UA E2,Digital,438.8125,431.8125,1,1,TG123 UA Eng2,TG123,VK1RBM,None,None,High,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,129,0,0,80,0,0,22,0,0,0,0
'1RMB TG133 +USA,Digital,438.8125,431.8125,1,1,TG133 DMR+USA,TG113,VK1RBM,None,None,High,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,129,0,0,80,0,0,22,0,0,0,0
'1RMB TG143 +UK,Digital,438.8125,431.8125,1,1,TG143 DMR+UK,TG143,VK1RBM,None,None,High,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,129,0,0,80,0,0,22,0,0,0,0
'1RMB TG153 AU/NZ,Digital,438.8125,431.8125,1,1,TG153 DMR+SthPac,TG153,VK1RBM,None,None,High,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,129,0,0,80,0,0,22,0,0,0,0
'1RMB TG505 AU,Digital,438.8125,431.8125,1,1,TG505 AU,TG505,VK1RBM,None,None,High,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,129,0,0,80,0,0,22,0,0,0,0
'1RMB TG3801 ACT,Digital,438.8125,431.8125,1,2,TG3801 ACT,TG3801,VK1RBM,None,None,High,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,64,0,129,0,0,80,0,0,22,0,0,0,0
'1RMB TG3802 NSW,Digital,438.8125,431.8125,1,2,TG3802 NSW,TG3802,VK1RBM,None,None,High,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,64,0,129,0,0,80,0,0,22,0,0,0,0
'1RMB TG3803 Vic,Digital,438.8125,431.8125,1,2,TG3803 Vic,TG3803,None,None,None,High,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,64,0,129,0,0,80,0,0,22,0,0,0,0
'1RMB TG3804 Qld,Digital,438.8125,431.8125,1,1,TG3804 Qld,TG3804,None,None,None,High,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,129,0,0,80,0,0,22,0,0,0,0
'1RMB TG3805 SA,Digital,438.8125,431.8125,1,2,TG3805 SA,TG3805,VK1RBM,None,None,High,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,64,0,129,0,0,80,0,0,22,0,0,0,0
VK2RFI Scan,Digital,147.175,147.775,1,1,All Calls,All Calls,VK2RFI,None,None,High,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,161,0,0,80,0,0,22,0,0,0,0
'2RFI TG1 WW,Digital,147.175,147.775,1,1,TG1 WW,TG1,VK2RFI,None,None,High,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,129,0,0,80,0,0,22,0,0,0,0
'2RFI TG8 S1,Digital,147.175,147.775,1,1,TG8 StateLnkd,TG8,VK2RFI,None,None,High,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,129,0,0,80,0,0,22,0,0,0,0
'2RFI TG9 S1 Loc,Digital,147.175,147.775,1,1,TG9 Local,TG9,VK2RFI,None,None,High,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,129,0,0,80,0,0,22,0,0,0,0
'2RFI TG13 WWE,Digital,147.175,147.775,1,1,TG13 WWE,TG13,VK2RFI,None,None,High,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,129,0,0,80,0,0,22,0,0,0,0
'2RFI TG113 UA E1,Digital,147.175,147.775,1,1,TG113 UA Eng1,TG113,VK2RFI,None,None,High,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,129,0,0,80,0,0,22,0,0,0,0
'2RFI TG123 UA E2,Digital,147.175,147.775,1,1,TG123 UA Eng2,TG123,VK2RFI,None,None,High,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,129,0,0,80,0,0,22,0,0,0,0
'2RFI TG133 +USA,Digital,147.175,147.775,1,1,TG133 DMR+USA,TG133,VK2RFI,None,None,High,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,129,0,0,80,0,0,22,0,0,0,0
'2RFI TG143 +UK,Digital,147.175,147.775,1,1,TG143 DMR+UK,TG143,VK2RFI,None,None,High,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,129,0,0,80,0,0,22,0,0,0,0
'2RFI TG153 AU/NZ,Digital,147.175,147.775,1,1,TG153 DMR+SthPac,TG153,VK2RFI,None,None,High,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,129,0,0,80,0,0,22,0,0,0,0
'2RFI TG505 AU,Digital,147.175,147.775,1,1,TG505 AU,TG505,VK2RFI,None,None,High,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,129,0,0,80,0,0,22,0,0,0,0
'2RFI TG3801 ACT,Digital,147.175,147.775,1,2,TG3801 ACT,TG3801,VK2RFI,None,None,High,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,64,0,129,0,0,80,0,0,22,0,0,0,0
'2RFI TG3802 NSW,Digital,147.175,147.775,1,2,TG3802 NSW,TG3802,VK2RFI,None,None,High,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,64,0,129,0,0,80,0,0,22,0,0,0,0
'2RFI TG3804 Qld,Digital,147.175,147.775,1,1,TG3804 Qld,TG3804,VK2RFI,None,None,High,12.5KHz,No,Normal,0,0,255,0,0,1,1,0,0,0,129,0,0,80,0,0,22,0,0,0,0
