Number,Name,Rx Freq,Tx Freq,Ch Mode,Power,Rx Tone,Tx Tone,Color Code,Rx Group List,Contact,Repeater Slot
1,439.2 SPX DMR,439.20000,439.20000,Digital,High,None,None,1,1,1,1
2,438.7 SPX DMR,438.70000,438.70000,Digital,High,None,None,1,1,1,1
3,DV4 TG9 S1,439.12500,439.12500,Digital,Low,None,None,1,4,5,1
4,DV4 BM TG9 S2,439.12500,439.12500,Digital,Low,None,None,1,4,5,2
5,DV4 tg133 US,439.12500,439.12500,Digital,Low,None,None,1,4,44,2
6,DV4 tg143 UK,439.12500,439.12500,Digital,Low,None,None,1,4,45,2
7,DV4 tg153 SthPa,439.12500,439.12500,Digital,Low,None,None,1,4,46,2
8,DV4 tg3800 AU,439.12500,439.12500,Digital,Low,None,None,1,4,47,2
9,DV4 tg3801 ACT,439.12500,439.12500,Digital,Low,None,None,1,4,48,2
10,DV4 tg3802 NSW,439.12500,439.12500,Digital,Low,None,None,1,4,49,2
11,DV4 tg3803 Vic,439.12500,439.12500,Digital,Low,None,None,1,4,50,2
12,DV4 tg3804 Qld,439.12500,439.12500,Digital,Low,None,None,1,4,51,2
13,DV4 tg3805 SA,439.12500,439.12500,Digital,Low,None,None,1,4,52,2
14,DV4 tg3806 WA,439.12500,439.12500,Digital,Low,None,None,1,4,53,2
15,DV4 tg3807 Tas,439.12500,439.12500,Digital,Low,None,None,1,4,54,2
16,DV hs Scan,439.12500,439.12500,Digital,Low,None,None,1,4,1,2
17,DVm TG9S2,439.15000,439.15000,Digital,Low,None,None,1,2,5,2
18,DVm 505 AU,439.15000,439.15000,Digital,Low,None,None,1,2,15,2
19,DVm YSF 50599,439.15000,439.15000,Digital,Low,None,None,1,2,37,2
20,DVm 5051 ACT,439.15000,439.15000,Digital,Low,None,None,1,2,30,2
21,DVm 5052 NSW,439.15000,439.15000,Digital,Low,None,None,1,2,31,2
22,DVm 5053 Vic,439.15000,439.15000,Digital,Low,None,None,1,2,32,2
23,DVm 5054 Qld,439.15000,439.15000,Digital,Low,None,None,1,2,33,2
24,DVm 5055 SA,439.15000,439.15000,Digital,Low,None,None,1,2,34,2
25,DVm 5056 WA,439.15000,439.15000,Digital,Low,None,None,1,2,35,2
26,DVm 5057 Tas,439.15000,439.15000,Digital,Low,None,None,1,2,36,2
27,DVm WICEN,439.15000,439.15000,Digital,Low,None,None,1,2,43,1
28,DVm TG91 WW,439.15000,439.15000,Digital,Low,None,None,1,2,39,1
29,DVm TG913 WWE,439.15000,439.15000,Digital,Low,None,None,1,2,40,1
30,DVm TG923 EU E,439.15000,439.15000,Digital,Low,None,None,1,2,40,1
31,DVm TG95 PacRim,439.15000,439.15000,Digital,Low,None,None,1,2,42,1
32,DVm 26204,439.15000,439.15000,Digital,Low,None,None,1,2,55,1
33,DVm 31665,439.15000,439.15000,Digital,Low,None,None,1,2,56,2
34,DVm 4000 discnt,439.15000,439.15000,Digital,Low,None,None,1,0,27,1
35,DVm 5000 status,439.15000,439.15000,Digital,Low,None,None,1,0,28,1
36,Z bm TG9S2,439.17500,439.17500,Digital,Low,None,None,1,2,5,2
37,Z bm 505 AU,439.17500,439.17500,Digital,Low,None,None,1,2,15,2
38,Z bm YSF 50599,439.17500,439.17500,Digital,Low,None,None,1,2,37,2
39,Z bm 5051 ACT,439.17500,439.17500,Digital,Low,None,None,1,2,30,2
40,Z bm 5052 NSW,439.17500,439.17500,Digital,Low,None,None,1,2,31,2
41,Z bm 5053 Vic,439.17500,439.17500,Digital,Low,None,None,1,2,32,2
42,Z bm 5054 Qld,439.17500,439.17500,Digital,Low,None,None,1,2,33,2
43,Z bm 5055 SA,439.17500,439.17500,Digital,Low,None,None,1,2,34,2
44,Z bm 5056 WA,439.17500,439.17500,Digital,Low,None,None,1,2,35,2
45,Z bm 5057 Tas,439.17500,439.17500,Digital,Low,None,None,1,2,36,2
46,Z bm WICEN,439.17500,439.17500,Digital,Low,None,None,1,2,43,1
47,Z bm TG91 WW,439.17500,439.17500,Digital,Low,None,None,1,2,39,1
48,Z bm TG913 WWE,439.17500,439.17500,Digital,Low,None,None,1,2,40,1
49,Z bm TG923 EU E,439.17500,439.17500,Digital,Low,None,None,1,2,40,1
50,Z bm TG95 PacRim,439.17500,439.17500,Digital,Low,None,None,1,2,42,1
51,Z bm 26204,439.17500,439.17500,Digital,Low,None,None,1,2,55,1
52,Z bm 31665,439.17500,439.17500,Digital,Low,None,None,1,2,56,2
53,Z bm 4000 discnt,439.17500,439.17500,Digital,Low,None,None,1,0,27,1
54,Z bm 5000 status,439.17500,439.17500,Digital,Low,None,None,1,0,28,1
55,11 VK1RBM Scan,438.81250,431.81250,Digital,High,None,None,1,1,1,1
56,11 TG1 WW,438.81250,431.81250,Digital,High,None,None,1,1,2,1
57,11 TG5 VK Bcast,438.81250,431.81250,Digital,High,None,None,1,1,3,1
58,11 TG8 S1,438.81250,431.81250,Digital,High,None,None,1,1,4,1
59,11 TG9 S1 Loc,438.81250,431.81250,Digital,High,None,None,1,1,5,1
60,11 TG13 WWE,438.81250,431.81250,Digital,High,None,None,1,1,6,1
61,11 TG113 UA E1,438.81250,431.81250,Digital,High,None,None,1,1,9,1
62,11 TG123 UA E2,438.81250,431.81250,Digital,High,None,None,1,1,10,1
63,11 TG133 +USA,438.81250,431.81250,Digital,High,None,None,1,1,11,1
64,11 TG143 +UK,438.81250,431.81250,Digital,High,None,None,1,1,12,1
65,11 TG153 SthPac,438.81250,431.81250,Digital,High,None,None,1,1,13,1
66,11 TG505 AU,438.81250,431.81250,Digital,High,None,None,1,1,15,1
67,11 TG3800 AU+,438.81250,431.81250,Digital,High,None,None,1,1,17,2
68,11 TG3801 ACT,438.81250,431.81250,Digital,High,None,None,1,1,18,2
69,11 TG3802 NSW,438.81250,431.81250,Digital,High,None,None,1,1,19,2
70,11 Ref Discnct,438.81250,431.81250,Digital,High,None,None,1,1,26,1
71,11 Rep Status,438.81250,431.81250,Digital,High,None,None,1,1,27,1
72,19 VK2RFI Scan,147.17500,147.77500,Digital,High,None,None,1,1,1,1
73,19 TG1 WW,147.17500,147.77500,Digital,High,None,None,1,1,2,1
74,19 TG5 VK Bcast,147.17500,147.77500,Digital,High,None,None,1,1,3,1
75,19 TG8 S1,147.17500,147.77500,Digital,High,None,None,1,1,4,1
