Contact Name,ID,ID Type,Receive Tone,Ring Style
All Calls, 1677215,Group,Off,0
TG1 WW, 1,Group,Off,0
TG5 VK Nets, 5,Group,Off,0
TG8 StateLnkd, 8,Group,Off,0
TG9 Local, 9,Group,Off,0
TG13 WWE, 13,Group,Off,0
TG30 JOTA, 30,Group,Off,0
TG100 TechTalk, 100,Group,Off,0
TG113 UA Eng1, 113,Group,Off,0
TG123 UA Eng2, 123,Group,Off,0
TG133 DMR+USA, 133,Group,Off,0
TG143 DMR+UK, 143,Group,Off,0
TG153 DMR+SthPac, 153,Group,Off,0
Private, 315,Group,On,0
TG505 AU, 505,Group,Off,0
TAXI GN, 950,Group,Off,0
TG3800 AU, 3800,Group,Off,0
TG3801 ACT, 3801,Group,Off,0
TG3802 NSW, 3802,Group,Off,0
TG3803 Vic, 3803,Group,Off,0
TG3804 Qld, 3804,Group,Off,0
TG3805 SA, 3805,Group,Off,0
TG3806 WA, 3806,Group,Off,0
TG3807 Tas, 3807,Group,Off,0
TG3808 VK8, 3808,Group,Off,0
TG3809 VK9, 3809,Group,Off,0
Reflctr Discnct, 4000,Group,Off,0
Rpt Status, 5000,Group,Off,0
TG5050 AU BM, 5050,Group,Off,0
TG5051 ACT BM, 5051,Group,Off,0
TG5052 NSW BM, 5052,Group,Off,0
TG5053 Vic BM, 5053,Group,Off,0
TG5054 Qld BM, 5054,Group,Off,0
TG5055 SA BM, 5055,Group,Off,0
TG5056 WA BM, 5056,Group,Off,0
TG5057 Tas BM, 5057,Group,Off,0
TG50599 YSF, 50599,Group,Off,0
BM Local, 505001,Group,Off,0
TG91 BM WW, 91,Group,Off,0
TG913 BM WWE, 913,Group,Off,0
TG923 BM EU E, 923,Group,Off,0
TG95 BM PacRim, 95,Group,Off,0
VK WICEN BM, 50566,Group,Off,0
ref4581 tg133 US, 4581,Private,Off,0
ref4404 tg143, 143,Private,On,0
ref4851 tg153 SP, 4851,Private,Off,0
ref4800 tf3800, 4800,Private,Off,0
ref4801 tg3801, 4801,Private,Off,0
ref4802 tg3802, 4802,Private,Off,0
ref4803 tg3803, 4803,Private,Off,0
ref4804 tg3804, 4804,Private,Off,0
ref4805 tg3805, 4805,Private,Off,0
ref4806 tg3806, 4806,Private,Off,0
ref4807 tg3807, 4807,Private,Off,0
Parrot 9990, 9990,Private,On,0
TG26204, 26204,Group,Off,0
TG31665, 31665,Group,Off,0
JDW Lewis, 5052080,Private,On,0
VK2JUZ, 5052300,Private,On,0
VK2KVP Det, 5052359,Private,On,0
VK2MCA, 5052011,Private,On,0
VK2MCA/M, 5052097,Private,On,0
VK2MCA/P, 5052041,Private,On,0
VK2MRC, 5052073,Private,On,0
VK2PET Pete, 5052365,Private,On,0
VK2PGK Graeme, 5053161,Private,On,0
VK2SI Fred, 5052405,Private,On,0
VK2VCR, 5052325,Private,On,0
VK2YHX Spero, 5052094,Private,On,0
VK2YMC, 5052323,Private,On,0
VK3FJC Guill, 5053214,Private,On,0
VK3HDX Don, 5053275,Private,On,0
VK3JMA Mark, 5053123,Private,On,0
VK3PKG, 5053161,Private,On,0
VK4MAC Brendan, 5054192,Private,On,0
VK4TIM Tim, 5054033,Private,On,0
VK4TUX, 5054035,Private,On,0
VK5GS , 5055048,Private,On,0
VK5TT Tony, 5055051,Private,On,0
VK6LD Robert, 5056006,Private,On,0
VK6LS Stuart, 5053214,Private,On,0
VK7WP Ross, 5057068,Private,On,0
VK4RT Bob, 5054078,Private,On,0
TG6 DStar, 6,Group,On,0
VK3IC John, 5053022,Private,Off,0
VK4PC Peter, 5054020,Private,Off,0
VK4KZK Mark, 5054014,Private,Off,0
VK4CJE Chris, 5054008,Private,Off,0
VK3XPT Perrin, 5053025,Private,Off,0
VK6KSA Sam, 5056017,Private,Off,0
VK4GO Art, 5054030,Private,Off,0
VK4HVU Adrian, 5054028,Private,Off,0
VK3WH Andrew, 5053035,Private,Off,0
VK3BLS Benjamin, 5053031,Private,Off,0
VK3JPH Phill, 5053020,Private,Off,0
VK6TWO Heath, 5056002,Private,Off,0
VK8AA David, 5058001,Private,Off,0
VK2ERG Earnest, 5052039,Private,Off,0
VK6WT Paul, 5056024,Private,Off,0
VK6OK Craig, 5056009,Private,Off,0
VK6RX John, 5056028,Private,Off,0
VK2RM Andy, 5052020,Private,Off,0
VK4SM steven, 5054058,Private,Off,0
VK4UT Ben, 5054011,Private,Off,0
