ScanList Name,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Priority1,Priority2,TX Channel,Signal Hold,Priority Sample,Flags
Hotspots,Selected,DV4 TG9,DVm TG9,Z bm TG9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,Selected,255,8,240
VK1RBM,Selected,'2RMB TG1 WW,'2RMB TG8 S1,'2RMB TG9 S1 Loc,'2RMB TG13 WWE,'2RMB TG133 +USA,'2RMB TG143 +UK,'2RMB TG153 AU/NZ,'2RMB TG505 AU,'2RMB TG3805 SA,'2RMB TG3801 ACT,'2RMB TG3802 NSW,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK2RFI,Selected,'2RFI TG1 WW,'2RFI TG8 S1,'2RFI TG9 S1 Loc,'2RFI TG13 WWE,'2RFI TG133 +USA,'2RFI TG143 +UK,'2RFI TG153 AU/NZ,'2RFI TG505 AU,'2RFI TG3805 SA,'2RFI TG3801 ACT,'2RFI TG3802 NSW,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK2RTH,Selected,'2RTH TG1 WW,'2RTH TG8 S1,'2RTH TG9 S1 Loc,'2RTH TG13 WWE,'2RTH TG133 +USA,'2RTH TG143 +UK,'2RTH TG153 AU/NZ,'2RTH TG505 AU,'2RTH TG3805 SA,'2RTH TG3801 ACT,'2RTH TG3802 NSW,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK2RGN,Selected,'2RGN TG1 WW,'2RGN TG8 S1,'2RGN TG9 S1 Loc,'2RGN TG13 WWE,'2RGN TG133 +USA,'2RGN TG143 +UK,'2RGN TG153 AU/NZ,'2RGN TG505 AU,'2RGN TG3805 SA,'2RGN TG3801 ACT,'2RGN TG3802 NSW,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK2RHR,Selected,'2RHR TG1 WW,'2RHR TG8 S1,'2RHR TG9 S1 Loc,'2RHR TG13 WWE,'2RHR TG133 +USA,'2RHR TG143 +UK,'2RHR TG153 AU/NZ,'2RHR TG505 AU,'2RHR TG3804 Qld,'2RHR TG3801 ACT,'2RHR TG3802 NSW,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK2RYS,Selected,'2RYS TG1 WW,'2RYS TG8 S1,'2RYS TG9 S1 Loc,'2RYS TG13 WWE,'2RYS TG133 +USA,'2RYS TG143 +UK,'2RYS TG153 AU/NZ,'2RYS TG505 AU,'2RYS TG3803 Vic,'2RYS TG3801 ACT,'2RYS TG3802 NSW,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK2RCG,Selected,'2RCG TG1 WW,'2RCG TG8 S1,'2RCG TG9 S1 Loc,'2RCG TG13 WWE,'2RCG TG133 +USA,'2RCG TG143 +UK,'2RCG TG153 AU/NZ,'2RCG TG505 AU,'2RCG TG3803 Vic,'2RCG TG3801 ACT,'2RCG TG3802 NSW,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK2RRW,Selected,'2RRW TG1 WW,'2RRW TG8 S1,'2RRW TG9 S1 Loc,'2RRW TG13 WWE,'2RRW TG133 +USA,'2RRW TG143 +UK,'2RRW TG153 AU/NZ,'2RRW TG505 AU,'2RRW TG3803 Vic,'2RRW TG3801 ACT,'2RRW TG3802 NSW,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK2RLE,Selected,'2RLE TG1 WW,'2RLE TG8 S1,'2RLE TG9 S1 Loc,'2RLE TG13 WWE,'2RLE TG133 +USA,'2RLE TG143 +UK,'2RLE TG153 AU/NZ,'2RLE TG505 AU,'2RLE TG3803 Vic,'2RLE TG3801 ACT,'2RLE TG3802 NSW,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK2RHT,Selected,'2RHT TG1 WW,'2RHT TG8 S1,'2RHT TG9 S1 Loc,'2RHT TG13 WWE,'2RHT TG133 +USA,'2RHT TG143 +UK,'2RHT TG153 AU/NZ,'2RHT TG505 AU,'2RHT TG3803 Vic,'2RHT TG3801 ACT,'2RHT TG3802 NSW,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK2RAO,Selected,'2RAO TG1 WW,'2RAO TG8 S1,'2RAO TG9 S1 Loc,'2RAO TG13 WWE,'2RAO TG133 +USA,'2RAO TG143 +UK,'2RAO TG153 AU/NZ,'2RAO TG505 AU,'2RAO TG3803 Vic,'2RAO TG3802 NSW,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK2RCV,Selected,'2RCV TG1 WW,'2RCV TG8 S1,'2RCV TG9 S1 Loc,'2RCV TG133 +USA,'2RCV TG143 +UK,'2RCV TG153 AU/NZ,'2RCV TG505 AU,'2RCV TG3803 Vic,'2RCV TG3801 ACT,'2RCV TG3802 NSW,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK3RSU,Selected,'3RSU TG1 WW,'3RSU TG8 S1,'3RSU TG9 S1 Loc,'3RSU TG13 WWE,'3RSU TG133 +USA,'3RSU TG143 +UK,'3RSU TG153 AU/NZ,'3RSU TG505 AU,'3RSU TG3802 NSW,'3RSU TG3803 Vic,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK3RTE,Selected,'3RTE TG1 WW,'3RTE TG8 S1,'3RTE TG9 S1 Loc,'3RTE TG13 WWE,'3RTE TG133 +USA,'3RTE TG143 +UK,'3RTE TG153 AU/NZ,'3RTE TG505 AU,'3RTE TG3800 AU+,'3RTE TG3803 Vic,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK3RZU,Selected,'3RZU TG1 WW,'3RZU TG8 S1,'3RZU TG9 S1 Loc,'3RZU TG13 WWE,'3RZU TG133 +USA,'3RZU TG143 +UK,'3RZU TG153 AU/NZ,'3RZU TG505 AU,'3RZU TG3802 NSW,'3RZU TG3803 Vic,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK3RMC,Selected,,'3RMC TG8 S1,'3RMC TG9 S1 Loc,'3RMC TG13 WWE,'3RMC TG133 +USA,'3RMC TG143 +UK,'3RMC TG153 AU/NZ,'3RMC TG505 AU,'3RMC TG3802 NSW,'3RMC TG3803 Vic,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK3RMM,Selected,'3RMM TG1 WW,'3RMM TG8 S1,'3RMM TG9 S1 Loc,'3RMM TG13 WWE,'3RMM TG133 +USA,'3RMM TG143 +UK,'3RMM TG153 AU/NZ,'3RMM TG505 AU,'3RMM TG3802 NSW,'3RMM TG3803 Vic,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK3RPT,Selected,'3RPT TG1 WW,'3RPT TG8 S1,'3RPT TG9 S1 Loc,'3RPT TG13 WWE,'3RPT TG133 +USA,'3RPT TG143 +UK,'3RPT TG153 AU/NZ,'3RPT TG505 AU,'3RPT TG3802 NSW,'3RPT TG3803 Vic,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK3RGL,Selected,'3RGL TG1 WW,'3RGL TG8 S1,'3RGL TG9 S1 Loc,'3RGL TG13 WWE,'3RGL TG133 +USA,'3RGL TG143 +UK,'3RGL TG153 AU/NZ,'3RGL TG505 AU,'3RGL TG3802 NSW,'3RGL TG3803 Vic,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK3RPS,Selected,'3RPS TG1 WW,'3RPS TG8 S1,'3RPS TG9 S1 Loc,'3RPS TG13 WWE,'3RPS TG133 +USA,'3RPS TG143 +UK,'3RPS TG153 AU/NZ,'3RPS TG505 AU,'3RPS TG3802 NSW,'3RPS TG3803 Vic,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK3RBQ,Selected,,'3RBQ TG8 S1,'3RBQ TG9 S1 Loc,'3RBQ TG13 WWE,'3RBQ TG133 +USA,'3RBQ TG143 +UK,'3RBQ TG153 AU/NZ,'3RBQ TG505 AU,'3RBQ TG3802 NSW,'3RBQ TG3803 Vic,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
