Zone Name,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel
JumboSpot,Z bm 5051 ACT,Z bm 5052 NSW,Z bm 5053 Vic,Z bm 5054 Qld,Z bm 5055 SA,Z bm 5056 WA,Z bm 5057 Tas,Z TG8,Z bm YSF 50599,Z bm 505 AU,Z bm TG95 PacRim,Z bm TG91 WW,Z bm TG913 WWE,Z bm TG923 EU E,DV4 TG9 S1,
DVmega,DVm 5051 ACT,DVm 5052 NSW,DVm 5053 Vic,DVm 5054 Qld,DVm 5055 SA,DVm 5056 WA,DVm 5057 Tas,DVm TG8,DVm YSF 50599,DVm 505 AU,DVm TG95 PacRim,DVm TG91 WW,DVm TG913 WWE,DVm TG923 EU E,DVm WICEN,DVm TG9S2
VK1RBM,'1RMB TG1 WW,'1RMB TG8 S1,'1RMB TG9 S1 Loc,'1RMB TG13 WWE,'1RMB TG113 UA E1,'1RMB TG123 UA E2,'1RMB TG133 +USA,'1RMB TG143 +UK,'1RMB TG153 AU\NZ,'1RMB TG505 AU,'1RMB TG3805 SA,'1RMB TG3801 ACT,'1RMB TG3802 NSW,'1RMB TG3803 Vic,,
VK2RGN,'2RGN TG1 WW,'2RGN TG8 S1,'2RGN TG9 S1 Loc,'2RGN TG13 WWE,'2RGN TG113 UA E1,'2RGN TG123 UA E2,'2RGN TG133 +USA,'2RGN TG143 +UK,'2RGN TG153 AU\NZ,'2RGN TG505 AU,'2RGN TG3805 SA,'2RGN TG3801 ACT,'2RGN TG3802 NSW,'2RGN TG3803 Vic,,
VK2RFI,'2RFI TG1 WW,'2RFI TG8 S1,'2RFI TG9 S1 Loc,'2RFI TG13 WWE,'2RFI TG113 UA E1,'2RFI TG123 UA E2,'2RFI TG133 +USA,'2RFI TG143 +UK,'2RFI TG153 AU\NZ,'2RFI TG505 AU,'2RFI TG3805 SA,'2RFI TG3801 ACT,'2RFI TG3802 NSW,'2RFI TG3804,,
VK2RHR,'2RHR TG1 WW,'2RHR TG8 S1,'2RHR TG9 S1 Loc,'2RHR TG13 WWE,'2RHR TG113 UA E1,'2RHR TG123 UA E2,'2RHR TG133 +USA,'2RHR TG143 +UK,'2RHR TG153 AU\NZ,'2RHR TG505 AU,'2RHR TG3804 Qld,'2RHR TG3801 ACT,'2RHR TG3802 NSW,'2RHR TG3803 Vic,,
VK2RYS,'2RYS TG1 WW,'2RYS TG8 S1,'2RYS TG9 S1 Loc,'2RYS TG13 WWE,'2RYS TG113 UA E1,'2RYS TG123 UA E2,'2RYS TG133 +USA,'2RYS TG143 +UK,'2RYS TG153 AU\NZ,'2RYS TG505 AU,'2RYS TG3803 Vic,'2RYS TG3801 ACT,'2RYS TG3802 NSW,,,
VK2RCG,'2RCG TG1 WW,'2RCG TG8 S1,'2RCG TG9 S1 Loc,'2RCG TG13 WWE,'2RCG TG113 UA E1,'2RCG TG123 UA E2,'2RCG TG133 +USA,'2RCG TG143 +UK,'2RCG TG153 AU\NZ,'2RCG TG505 AU,'2RCG TG3803 Vic,'2RCG TG3801 ACT,'2RCG TG3802 NSW,,,
VK2RRW,'2RRW TG1 WW,'2RRW TG8 S1,'2RRW TG9 S1 Loc,'2RRW TG13 WWE,'2RRW TG113 UA E1,'2RRW TG123 UA E2,'2RRW TG133 +USA,'2RRW TG143 +UK,'2RRW TG153 AU\NZ,'2RRW TG505 AU,'2RRW TG3803 Vic,'2RRW TG3801 ACT,'2RRW TG3802 NSW,,,
VK2RLE,'2RLE TG1 WW,'2RLE TG8 S1,'2RLE TG9 S1 Loc,'2RLE TG13 WWE,'2RLE TG113 UA E1,'2RLE TG123 UA E2,'2RLE TG133 +USA,'2RLE TG143 +UK,'2RLE TG153 AU\NZ,'2RLE TG505 AU,'2RLE TG3803 Vic,'2RLE TG3801 ACT,'2RLE TG3802 NSW,,,
VK2RHT,'2RHT TG1 WW,'2RHT TG8 S1,'2RHT TG9 S1 Loc,'2RHT TG13 WWE,'2RHT TG113 UA E1,'2RHT TG123 UA E2,'2RHT TG133 +USA,'2RHT TG143 +UK,'2RHT TG153 AU\NZ,'2RHT TG505 AU,'2RHT TG3803 Vic,'2RHT TG3801 ACT,'2RHT TG3802 NSW,,,
VK2RAO,'2RAO TG1 WW,'2RAO TG8 S1,'2RAO TG9 S1 Loc,'2RAO TG13 WWE,'2RAO TG113 UA E1,'2RAO TG123 UA E2,'2RAO TG133 +USA,'2RAO TG143 +UK,'2RAO TG153 AU\NZ,'2RAO TG505 AU,'2RAO TG3803 Vic,'2RAO TG3801 ACT,'2RAO TG3802 NSW,,,
VK2RCV,'2RCV TG1 WW,'2RCV TG8 S1,'2RCV TG9 S1 Loc,'2RCV TG13 WWE,'2RCV TG113 UA E1,'2RCV TG123 UA E2,'2RCV TG133 +USA,'2RCV TG143 +UK,'2RCV TG153 AU\NZ,'2RCV TG505 AU,'2RCV TG3803 Vic,'2RCV TG3801 ACT,'2RCV TG3802 NSW,,,
VK3RSU,'3RSU TG1 WW,'3RSU TG8 S1,'3RSU TG9 S1 Loc,'3RSU TG13 WWE,'3RSU TG113 UA E1,'3RSU TG123 UA E2,'3RSU TG133 +USA,'3RSU TG143 +UK,'3RSU TG153 AU\NZ,'3RSU TG505 AU,'3RSU TG3802 NSW,'3RSU TG3803 Vic,,,,
VK3RTE,'3RTE TG1 WW,'3RTE TG8 S1,'3RTE TG9 S1 Loc,'3RTE TG13 WWE,'3RTE TG113 UA E1,'3RTE TG123 UA E2,'3RTE TG133 +USA,'3RTE TG143 +UK,'3RTE TG153 AU\NZ,'3RTE TG505 AU,'3RTE TG3802 NSW,'3RTE TG3803 Vic,,,,
VK3RMC,'3RMC TG8 S1,'3RMC TG9 S1 Loc,'3RMC TG13 WWE,'3RMC TG113 UA E1,'3RMC TG123 UA E2,'3RMC TG133 +USA,'3RMC TG143 +UK,'3RMC TG153 AU\NZ,'3RMC TG505 AU,'3RMC TG3802 NSW,'3RMC TG3803 Vic,,,,,
