Number,Name,Rx Freq,Tx Freq,Ch Mode,Power,Rx Tone,Tx Tone,Color Code,Rx Group List,Contact,Repeater Slot
,2RAF TG9S2,439.925,434.925,Digital,Low,None,None,1,2,5,2
,2RAF 505 AU,439.925,434.925,Digital,Low,None,None,1,2,15,2
,2RAF YSF 50599,439.925,434.925,Digital,Low,None,None,1,2,37,2
,2RAF 5051 ACT,439.925,434.925,Digital,Low,None,None,1,2,30,2
,2RAF 5052 NSW,439.925,434.925,Digital,Low,None,None,1,2,31,2
,2RAF 5053 Vic,439.925,434.925,Digital,Low,None,None,1,2,32,2
,2RAF 5054 Qld,439.925,434.925,Digital,Low,None,None,1,2,33,2
,2RAF 5055 SA,439.925,434.925,Digital,Low,None,None,1,2,34,2
,2RAF 5056 WA,439.925,434.925,Digital,Low,None,None,1,2,35,2
,2RAF 5057 Tas,439.925,434.925,Digital,Low,None,None,1,2,36,2
,2RAF BM Local,439.925,434.925,Digital,Low,None,None,1,2,38,2
,2RAF TG91 WW,439.925,434.925,Digital,Low,None,None,1,2,39,1
,2RAF TG913 WWE,439.925,434.925,Digital,Low,None,None,1,2,40,1
,2RAF TG923 EU E,439.925,434.925,Digital,Low,None,None,1,2,40,1
,2RAF TG95 PacRim,439.925,434.925,Digital,Low,None,None,1,2,42,1
,2RAF 4000 discnt,439.925,434.925,Digital,Low,None,None,1,0,27,1
,2RAG TG9S2,438.325,431.325,Digital,Low,None,None,1,2,5,2
,2RAG 505 AU,439.925,434.925,Digital,Low,None,None,1,2,15,2
,2RAG YSF 50599,439.925,434.925,Digital,Low,None,None,1,2,37,2
,2RAG 5051 ACT,439.925,434.925,Digital,Low,None,None,1,2,30,2
,2RAG 5052 NSW,439.925,434.925,Digital,Low,None,None,1,2,31,2
,2RAG 5053 Vic,439.925,434.925,Digital,Low,None,None,1,2,32,2
,2RAG 5054 Qld,439.925,434.925,Digital,Low,None,None,1,2,33,2
,2RAG 5055 SA,439.925,434.925,Digital,Low,None,None,1,2,34,2
,2RAG 5056 WA,439.925,434.925,Digital,Low,None,None,1,2,35,2
,2RAG 5057 Tas,439.925,434.925,Digital,Low,None,None,1,2,36,2
,2RAG BM Local,439.925,434.925,Digital,Low,None,None,1,2,38,2
,2RAG TG91 WW,439.925,434.925,Digital,Low,None,None,1,2,39,1
,2RAG TG913 WWE,439.925,434.925,Digital,Low,None,None,1,2,40,1
,2RAG TG923 EU E,439.925,434.925,Digital,Low,None,None,1,2,40,1
,2RAG TG95 PacRim,439.925,434.925,Digital,Low,None,None,1,2,42,1
,2RAG 4000 discnt,439.925,434.925,Digital,Low,None,None,1,0,27,1
,2RCW TG9S2,439.675,434.675,Digital,Low,None,None,1,2,5,2
,2RCW 505 AU,439.675,434.675,Digital,Low,None,None,1,2,15,2
,2RCW YSF 50599,439.675,434.675,Digital,Low,None,None,1,2,37,2
,2RCW 5051 ACT,439.675,434.675,Digital,Low,None,None,1,2,30,2
,2RCW 5052 NSW,439.675,434.675,Digital,Low,None,None,1,2,31,2
,2RCW 5053 Vic,439.675,434.675,Digital,Low,None,None,1,2,32,2
,2RCW 5054 Qld,439.675,434.675,Digital,Low,None,None,1,2,33,2
,2RCW 5055 SA,439.675,434.675,Digital,Low,None,None,1,2,34,2
,2RCW 5056 WA,439.675,434.675,Digital,Low,None,None,1,2,35,2
,2RCW 5057 Tas,439.675,434.675,Digital,Low,None,None,1,2,36,2
,2RCW BM Local,439.675,434.675,Digital,Low,None,None,1,2,38,2
,2RCW TG91 WW,439.675,434.675,Digital,Low,None,None,1,2,39,1
,2RCW TG913 WWE,439.675,434.675,Digital,Low,None,None,1,2,40,1
,2RCW TG923 EU E,439.675,434.675,Digital,Low,None,None,1,2,40,1
,2RCW TG95 PacRim,439.675,434.675,Digital,Low,None,None,1,2,42,1
,2RCW 4000 discnt,439.675,434.675,Digital,Low,None,None,1,0,27,1
,2RGN TG9S2,438.625,433.625,Digital,Low,None,None,1,2,5,2
,2RGN 505 AU,438.625,433.625,Digital,Low,None,None,1,2,15,2
,2RGN YSF 50599,438.625,433.625,Digital,Low,None,None,1,2,37,2
,2RGN 5051 ACT,438.625,433.625,Digital,Low,None,None,1,2,30,2
,2RGN 5052 NSW,438.625,433.625,Digital,Low,None,None,1,2,31,2
,2RGN 5053 Vic,438.625,433.625,Digital,Low,None,None,1,2,32,2
,2RGN 5054 Qld,438.625,433.625,Digital,Low,None,None,1,2,33,2
,2RGN 5055 SA,438.625,433.625,Digital,Low,None,None,1,2,34,2
,2RGN 5056 WA,438.625,433.625,Digital,Low,None,None,1,2,35,2
,2RGN 5057 Tas,438.625,433.625,Digital,Low,None,None,1,2,36,2
,2RGN BM Local,438.625,433.625,Digital,Low,None,None,1,2,38,2
,2RGN TG91 WW,438.625,433.625,Digital,Low,None,None,1,2,39,1
,2RGN TG913 WWE,438.625,433.625,Digital,Low,None,None,1,2,40,1
,2RGN TG923 EU E,438.625,433.625,Digital,Low,None,None,1,2,40,1
,2RGN TG95 PacRim,438.625,433.625,Digital,Low,None,None,1,2,42,1
,2RGN 4000 discnt,438.625,433.625,Digital,Low,None,None,1,0,27,1
,2RGP TG9S2,438.7375,431.7375,Digital,Low,None,None,1,2,5,2
,2RGP 505 AU,438.7375,431.7375,Digital,Low,None,None,1,2,15,2
,2RGP YSF 50599,438.7375,431.7375,Digital,Low,None,None,1,2,37,2
,2RGP 5051 ACT,438.7375,431.7375,Digital,Low,None,None,1,2,30,2
,2RGP 5052 NSW,438.7375,431.7375,Digital,Low,None,None,1,2,31,2
,2RGP 5053 Vic,438.7375,431.7375,Digital,Low,None,None,1,2,32,2
,2RGP 5054 Qld,438.7375,431.7375,Digital,Low,None,None,1,2,33,2
,2RGP 5055 SA,438.7375,431.7375,Digital,Low,None,None,1,2,34,2
,2RGP 5056 WA,438.7375,431.7375,Digital,Low,None,None,1,2,35,2
,2RGP 5057 Tas,438.7375,431.7375,Digital,Low,None,None,1,2,36,2
,2RGP WICEN,438.7375,431.7375,Digital,Low,None,None,1,2,43,2
,2RGP TG91 WW,438.7375,431.7375,Digital,Low,None,None,1,2,39,1
,2RGP TG913 WWE,438.7375,431.7375,Digital,Low,None,None,1,2,40,1
,2RGP TG923 EU E,438.7375,431.7375,Digital,Low,None,None,1,2,40,1
,2RGP TG95 PacRim,438.7375,431.7375,Digital,Low,None,None,1,2,42,1
,2RGP 4000 discnt,438.7375,431.7375,Digital,Low,None,None,1,0,27,1
,2RHK Scan,439.9125,434.9125,Digital,Low,None,None,1,2,1,2
,2RHK1 TG9 S2,439.9125,434.9125,Digital,Low,None,None,1,2,5,2
,2RHK1 505 AU,439.9125,434.9125,Digital,Low,None,None,1,2,15,2
,2RHK1 YSF 50599,439.9125,434.9125,Digital,Low,None,None,1,2,37,2
,2RHK1 5052 NSW,439.9125,434.9125,Digital,Low,None,None,1,2,31,2
,2RHK1 BM Local,439.9125,434.9125,Digital,Low,None,None,1,2,38,2
,2RHK1 4000 discnt,439.9125,434.9125,Digital,Low,None,None,1,0,27,1
,2RHK1 5000 status,439.9125,434.9125,Digital,Low,None,None,1,0,28,1
,2RHK2 TG9 S2,439.875,434.875,Digital,Low,None,None,1,2,5,2
,2RHK2 505 AU,439.875,434.875,Digital,Low,None,None,1,2,15,2
,2RHK2 YSF 50599,439.875,434.875,Digital,Low,None,None,1,2,37,2
,2RHK2 5052 NSW,439.875,434.875,Digital,Low,None,None,1,2,31,2
,2RHK2 BM Local,439.875,434.875,Digital,Low,None,None,1,2,38,2
,2RHK2 4000 discnt,439.875,434.875,Digital,Low,None,None,1,0,27,1
,2RHK2 5000 status,439.875,434.875,Digital,Low,None,None,1,0,28,1
,2RHX TG9S2,438.75,431.75,Digital,Low,None,None,1,2,5,2
,2RHX 505 AU,438.75,431.75,Digital,Low,None,None,1,2,15,2
,2RHX YSF 50599,438.75,431.75,Digital,Low,None,None,1,2,37,2
,2RHX 5051 ACT,438.75,431.75,Digital,Low,None,None,1,2,30,2
,2RHX 5052 NSW,438.75,431.75,Digital,Low,None,None,1,2,31,2
,2RHX 5053 Vic,438.75,431.75,Digital,Low,None,None,1,2,32,2
,2RHX 5054 Qld,438.75,431.75,Digital,Low,None,None,1,2,33,2
,2RHX 5055 SA,438.75,431.75,Digital,Low,None,None,1,2,34,2
,2RHX 5056 WA,438.75,431.75,Digital,Low,None,None,1,2,35,2
,2RHX 5057 Tas,438.75,431.75,Digital,Low,None,None,1,2,36,2
,2RHX BM Local,438.75,431.75,Digital,Low,None,None,1,2,38,2
,2RHX TG91 WW,438.75,431.75,Digital,Low,None,None,1,2,39,1
,2RHX TG913 WWE,438.75,431.75,Digital,Low,None,None,1,2,40,1
,2RHX TG923 EU E,438.75,431.75,Digital,Low,None,None,1,2,40,1
,2RHX TG95 PacRim,438.75,431.75,Digital,Low,None,None,1,2,42,1
,2RHX 4000 discnt,438.75,431.75,Digital,Low,None,None,1,0,27,1
,2RMP TG9S2,438.725,433.725,Digital,Low,None,None,1,2,5,2
,2RMP 505 AU,438.725,433.725,Digital,Low,None,None,1,2,15,2
,2RMP YSF 50599,438.725,433.725,Digital,Low,None,None,1,2,37,2
,2RMP 5051 ACT,438.725,433.725,Digital,Low,None,None,1,2,30,2
,2RMP 5052 NSW,438.725,433.725,Digital,Low,None,None,1,2,31,2
,2RMP 5053 Vic,438.725,433.725,Digital,Low,None,None,1,2,32,2
,2RMP 5054 Qld,438.725,433.725,Digital,Low,None,None,1,2,33,2
,2RMP 5055 SA,438.725,433.725,Digital,Low,None,None,1,2,34,2
,2RMP 5056 WA,438.725,433.725,Digital,Low,None,None,1,2,35,2
,2RMP 5057 Tas,438.725,433.725,Digital,Low,None,None,1,2,36,2
,2RMP BM Local,438.725,433.725,Digital,Low,None,None,1,2,38,2
,2RMP TG91 WW,438.725,433.725,Digital,Low,None,None,1,2,39,1
,2RMP TG913 WWE,438.725,433.725,Digital,Low,None,None,1,2,40,1
,2RMP TG923 EU E,438.725,433.725,Digital,Low,None,None,1,2,40,1
,2RMP TG95 PacRim,438.725,433.725,Digital,Low,None,None,1,2,42,1
,2RMP 4000 discnt,438.725,433.725,Digital,Low,None,None,1,0,27,1
,2AMV TG9S2,439.7,434.7,Digital,Low,None,None,1,2,5,2
,2AMV TG8 S2,439.7,434.7,Digital,Low,None,None,1,2,4,2
,2AMV 505 AU,439.7,434.7,Digital,Low,None,None,1,2,15,2
,2AMV YSF 50599,439.7,434.7,Digital,Low,None,None,1,2,37,2
